board,title,ws_board,per_page,pages,max_filesize,max_webm_filesize,max_comment_chars,max_webm_duration,bump_limit,image_limit,cooldowns,meta_description,is_archived
3,3DCG,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/3/ - 3DCG&quot; is 4chan's board for 3D modeling and imagery.,1
a,Anime & Manga,1,15,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/a/ - Anime &amp; Manga&quot; is 4chan's imageboard dedicated to the discussion of Japanese animation and manga.,1,1,1
aco,Adult Cartoons,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/aco/ - Adult Cartoons&quot; is 4chan's imageboard for posting western-styled adult cartoon artwork.,1
adv,Advice,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/adv/ - Advice&quot; is 4chan's board for giving and receiving advice. ,1
an,Animals & Nature,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/an/ - Animals &amp; Nature&quot; is 4chan's imageboard for posting pictures of animals, pets, and nature.",1
b,Random,0,15,10,2097152,2097152,2000,120,300,150,"{'threads': 90, 'replies': 30, 'images': 30}","&quot;/b/ - Random&quot; is the birthplace of Anonymous, and where people go to discuss random topics and create memes on 4chan."
bant,International/Random,0,15,10,2097152,2097152,2000,120,300,150,"{'threads': 60, 'replies': 15, 'images': 15}","&quot;/bant/ - International/Random&quot; is 4chan's international hanging out board, where you can have fun with Anonymous all over the world.",1,1
biz,Business & Finance,1,20,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/biz/ - Business &amp; Finance&quot; is 4chan's imageboard for the discussion of business and finance, and cryptocurrencies such as Bitcoin and Dogecoin.",1,1
c,Anime/Cute,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/c/ - Anime/Cute&quot; is 4chan's imageboard for cute and moe anime images.,1
cgl,Cosplay & EGL,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/cgl/ - Cosplay &amp; EGL&quot; is 4chan's imageboard for the discussion of cosplay, elegant gothic lolita (EGL), and anime conventions.",1
ck,Food & Cooking,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/ck/ - Food &amp; Cooking&quot; is 4chan's imageboard for food pictures and cooking recipes.,1
